"Gene name"	"Log₂FC"	"FDR"	"Coverage Group 1"	"Coverage Group 2"	"Mean Group 1"	"Mean Group 2"
"ABHD14A-ACY1"	"-2.3200182914733887"	"0"	"0.02560710534453392"	"0.12833647429943085"	"0.00219820742495358"	"0.010928637348115444"
"ABHD14B"	"-0.42488181591033936"	"3.761633277480349e-268"	"0.6006330847740173"	"0.783271312713623"	"0.22927851974964142"	"0.29709431529045105"
"ABHD15"	"-0.12106037139892578"	"0.0005342812983497403"	"0.16465085744857788"	"0.2726013958454132"	"0.023190513253211975"	"0.025195106863975525"
"ABHD16A"	"-0.8756093978881836"	"2.540029666736455e-305"	"0.2032032459974289"	"0.45905330777168274"	"0.053157415241003036"	"0.0954657644033432"
"ABHD17A"	"-0.43219494819641113"	"8.73986795601688e-236"	"0.5301899313926697"	"0.7890225648880005"	"0.24263757467269897"	"0.3151920437812805"
"ABHD17B"	"-0.8480467796325684"	"0"	"0.3038363456726074"	"0.5449139475822449"	"0.05837838351726532"	"0.10274846851825714"
"ABHD17C"	"0.7394518852233887"	"2.3858735368194742e-154"	"0.34503448009490967"	"0.3532460033893585"	"0.08548592776060104"	"0.05207575112581253"
"ABHD18"	"-0.3565185070037842"	"1.8070921737895043e-65"	"0.3728621304035187"	"0.5498496294021606"	"0.09231685101985931"	"0.1167370155453682"
"ABHD2"	"-0.4252326488494873"	"2.1386767341682926e-185"	"0.5969951748847961"	"0.7978150248527527"	"0.24680280685424805"	"0.31909531354904175"
"ABHD3"	"-0.646658182144165"	"2.9313657925578095e-249"	"0.3607200086116791"	"0.5939650535583496"	"0.08608610183000565"	"0.1316789984703064"
"ABHD4"	"-0.4705674648284912"	"1.6440411126172203e-118"	"0.31498628854751587"	"0.5482015609741211"	"0.05953708291053772"	"0.08158288896083832"
"ABHD5"	"-0.0874488353729248"	"1.737502737049205e-10"	"0.6203345060348511"	"0.745884120464325"	"0.26777324080467224"	"0.2823465168476105"
"ABHD6"	"0.3494071960449219"	"1.0478923135861493e-32"	"0.29944249987602234"	"0.37520599365234375"	"0.05988239869475365"	"0.04730134457349777"
"ABHD8"	"-0.9956636428833008"	"0"	"0.2767173647880554"	"0.5797271132469177"	"0.050267718732357025"	"0.09784851223230362"
"ABI1"	"0.3523988723754883"	"2.566371658194067e-177"	"0.7281489372253418"	"0.8269194960594177"	"0.3842521905899048"	"0.3126034140586853"
"ABI2"	"-0.2370280623435974"	"4.086365780769316e-114"	"0.7341018319129944"	"0.8680021166801453"	"0.41267743706703186"	"0.47130122780799866"
"ABI3"	"-0.3205595016479492"	"1.1794892123473305e-12"	"0.09789285063743591"	"0.18559390306472778"	"0.015835970640182495"	"0.019737539812922478"
"ABI3BP"	"-0.4433239698410034"	"5.762364845624367e-210"	"0.6908249258995056"	"0.7664594054222107"	"0.5169771313667297"	"0.6525713801383972"
"ABITRAM"	"-0.7507009506225586"	"0"	"0.33501842617988586"	"0.6147102117538452"	"0.06326411664485931"	"0.10425928235054016"
"ABL1"	"-0.019284844398498535"	"0.15175515665640582"	"0.6658792495727539"	"0.799607515335083"	"0.31468433141708374"	"0.3183108866214752"
"ABL2"	"-0.29068291187286377"	"1.4648025249142335e-73"	"0.560899555683136"	"0.7177481055259705"	"0.21321091055870056"	"0.2551790773868561"
"ABLIM1"	"-2.1253488063812256"	"0"	"0.2754417359828949"	"0.6486484408378601"	"0.07490403205156326"	"0.29219481348991394"
"ABLIM2"	"-1.090651512145996"	"7.101268594208421e-137"	"0.056836437433958054"	"0.19611091911792755"	"0.014108086004853249"	"0.029810190200805664"
"ABLIM3"	"0.3554058074951172"	"1.663598911713014e-47"	"0.38089388608932495"	"0.3257301449775696"	"0.09363150596618652"	"0.07392201572656631"
"ABO"	"-0.6962294578552246"	"2.3838492122463153e-43"	"0.06552962213754654"	"0.15615814924240112"	"0.012798391282558441"	"0.020655246451497078"
"ABR"	"-0.5754461288452148"	"3.771014734366665e-208"	"0.42672210931777954"	"0.6519360542297363"	"0.11078588664531708"	"0.16090907156467438"
"ABRACL"	"0.6060361862182617"	"9.759601090321012e-256"	"0.5762071013450623"	"0.5825220346450806"	"0.2113073170185089"	"0.1437423974275589"
"ABRAXAS1"	"-0.6595649719238281"	"0"	"0.49811017513275146"	"0.7596802711486816"	"0.14246618747711182"	"0.21661022305488586"
"ABRAXAS2"	"-0.13430285453796387"	"4.05702428592378e-16"	"0.46763676404953003"	"0.656294047832489"	"0.11325783282518387"	"0.12365056574344635"
"ABT1"	"-0.19090032577514648"	"7.2305140654912e-38"	"0.5300481915473938"	"0.7222250699996948"	"0.16094520688056946"	"0.1817590892314911"
"ABTB1"	"0.11282873153686523"	"1.061420479047246e-13"	"0.586790144443512"	"0.7113767266273499"	"0.21069492399692535"	"0.19630026817321777"
"ABTB2"	"-0.9151363372802734"	"1.8427400275047432e-239"	"0.20159690082073212"	"0.37052518129348755"	"0.045015599578619"	"0.08326307684183121"
"ABTB3"	"-0.2859988212585449"	"8.640643361748684e-14"	"0.154493048787117"	"0.19747863709926605"	"0.030666740611195564"	"0.037266675382852554"
"ACAA1"	"-0.5504655838012695"	"0"	"0.5311821103096008"	"0.7859132885932922"	"0.18032559752464294"	"0.2541826665401459"
"ACAA2"	"0.11607551574707031"	"2.2417479801369395e-22"	"0.6922895312309265"	"0.7895152568817139"	"0.3258853256702423"	"0.30415117740631104"
"ACACA"	"-1.0469226837158203"	"0"	"0.3009543716907501"	"0.6294493675231934"	"0.08419619500637054"	"0.16677850484848022"
"ACACB"	"0.46458864212036133"	"1.4053913683198495e-117"	"0.5343475341796875"	"0.5787246823310852"	"0.1973457634449005"	"0.14678022265434265"
"ACAD10"	"-0.3067188262939453"	"9.639128926001963e-32"	"0.2662288546562195"	"0.458560585975647"	"0.05188777297735214"	"0.06379491090774536"
"ACAD11"	"-0.9288530349731445"	"3.059204612133173e-209"	"0.15472927689552307"	"0.3597787916660309"	"0.03543422371149063"	"0.06641276180744171"
"ACAD8"	"0.03594660758972168"	"0.0622553737342685"	"0.4362184703350067"	"0.6039553284645081"	"0.09992272406816483"	"0.09757989645004272"
"ACAD9"	"-0.7039093971252441"	"0"	"0.40300482511520386"	"0.6901302933692932"	"0.08770793676376343"	"0.1391715109348297"
"ACADL"	"-3.1077890396118164"	"0"	"0.030945856124162674"	"0.15077221393585205"	"0.0031109496485441923"	"0.02650562860071659"
"ACADM"	"-0.32248783111572266"	"3.775856104367248e-167"	"0.6513276100158691"	"0.8286780118942261"	"0.26290637254714966"	"0.3192003667354584"
"ACADS"	"-0.015395164489746094"	"0.4195451127649422"	"0.4362184703350067"	"0.6182102560997009"	"0.11281082779169083"	"0.11395468562841415"
"ACADSB"	"0.07758164405822754"	"0.0000763578871641631"	"0.465085506439209"	"0.6326605081558228"	"0.12060310691595078"	"0.11463703960180283"
